Month,Year,Region,Mean Temp (F),Mean Max Temp (F),Mean Min Temp (F)
January,2014,South,25.9,35.4,16.4
February,2014,South,29.7,39.1,20.4
March,2014,South,39.7,51.1,28.4
April,2014,South,57.8,68.6,47
May,2014,South,68.1,77.8,58.4
June,2014,South,76.6,85.2,68
July,2014,South,73.3,83.8,62.8
August,2014,South,77.4,86.9,67.9
September,2014,South,68.4,80.3,56.5
October,2014,South,59.5,70.5,48.5
November,2014,South,38.7,48.3,29.1
December,2014,South,38.7,44.5,32.9
January,2015,South,31.9,40.2,23.6
February,2015,South,24.7,34.3,15
March,2015,South,42.8,52.3,33.3
April,2015,South,58.7,69.2,48.2
May,2015,South,67.8,77.5,58
June,2015,South,76.9,86.2,67.6
July,2015,South,78.9,87.6,70.2
August,2015,South,74.4,85,63.8
September,2015,South,72.4,84.6,60.1
October,2015,South,59.5,70.7,48.3
November,2015,South,51,60.6,41.4
December,2015,South,46.9,54.6,39.2
January,2016,South,31.2,39.3,23
February,2016,South,38.5,46.7,30.2
March,2016,South,51.6,61.2,42
April,2016,South,58.1,70,46.1
May,2016,South,64.1,73,55.1
June,2016,South,78.7,88.8,68.6
July,2016,South,79.6,88.4,70.9
August,2016,South,79.6,87.6,71.5
September,2016,South,74,85.4,62.5
October,2016,South,64.2,76,52.4
November,2016,South,50.9,62.2,39.6
December,2016,South,35.1,43.8,26.3
January,2017,South,39.5,46.8,32.1
February,2017,South,45.6,55.9,35.2
March,2017,South,47.5,57.2,37.7
April,2017,South,61.6,72.3,51
May,2017,South,67.5,76.6,58.3
June,2017,South,75.8,85.7,65.9
July,2017,South,80.1,90,70.1
August,2017,South,74.6,84.5,64.6
September,2017,South,71.1,82.3,59.9
October,2017,South,60.9,71.7,50.1
November,2017,South,46.1,56.1,36.1
December,2017,South,35.4,43.8,26.9
January,2014,East,28.8,35.6,22
February,2014,East,31.4,37.4,25.5
March,2014,East,37.2,44.6,29.8
April,2014,East,51,59.4,42.7
May,2014,East,63.4,71.5,55.5
June,2014,East,72.5,80,65
July,2014,East,77,84.3,69.6
August,2014,East,75.1,82.1,68.2
September,2014,East,70.4,77.3,63.5
October,2014,East,60.3,66.2,54.4
November,2014,East,45.5,51.6,39.3
December,2014,East,40.6,45.2,36
January,2015,East,29.9,36,23.8
February,2015,East,24.3,32,16.5
March,2015,East,37.9,45.2,30.6
April,2015,East,53.3,61.5,45.2
May,2015,East,67,76.4,57.5
June,2015,East,71.3,78.4,64.1
July,2015,East,79.2,85.9,72.5
August,2015,East,79.3,86.4,72.3
September,2015,East,74.1,81.3,66.8
October,2015,East,58.4,65.4,51.5
November,2015,East,53.3,59.6,47
December,2015,East,50.8,56.3,45.3
January,2016,East,35.7,41.9,29.5
February,2016,East,38.4,45.6,31.3
March,2016,East,49,57.2,40.8
April,2016,East,53.2,61.2,45.2
May,2016,East,63.6,71.2,55.9
June,2016,East,73.6,81.9,65.3
July,2016,East,81.1,88.5,73.6
August,2016,East,81.6,88.4,74.7
September,2016,East,73.8,80.3,67.3
October,2016,East,61.2,68,54.4
November,2016,East,52.4,58.7,46
December,2016,East,40.3,45.7,35
January,2017,East,39.7,44.4,35
February,2017,East,42.8,50,35.6
March,2017,East,41,48.1,34
April,2017,East,57.6,65.2,49.9
May,2017,East,63.2,70.3,56.2
June,2017,East,73.6,81.2,66
July,2017,East,78.1,85.3,71
August,2017,East,75.4,81.9,68.9
September,2017,East,71.5,78.1,64.8
October,2017,East,65.5,72.3,58.6
November,2017,East,48,55,41.1
December,2017,East,36.3,41.1,31.4
January,2014,Central,50.6,63.6,37.7
February,2014,Central,54.9,66.5,43.4
March,2014,Central,58.9,70.6,47.1
April,2014,Central,69.2,79.8,58.5
May,2014,Central,74.6,85.4,63.7
June,2014,Central,82,91,73.1
July,2014,Central,84.4,95.2,73.6
August,2014,Central,87.1,99,75.3
September,2014,Central,80.6,90.5,70.7
October,2014,Central,74.5,84.9,64
November,2014,Central,55.7,66,45.4
December,2014,Central,55,62.8,47.3
January,2015,Central,48.7,58.3,39
February,2015,Central,51.3,61.7,40.9
March,2015,Central,60.3,69.9,50.6
April,2015,Central,71.2,80.6,61.8
May,2015,Central,75.2,83.4,66.9
June,2015,Central,81,90.2,71.9
July,2015,Central,85.6,95.7,75.5
August,2015,Central,87.4,99.3,75.5
September,2015,Central,83.4,95.1,71.7
October,2015,Central,74.6,86.2,63
November,2015,Central,61.4,70.2,52.6
December,2015,Central,57.1,68.4,45.7
January,2016,Central,51.9,63,40.8
February,2016,Central,59.8,71.7,47.9
March,2016,Central,66.1,76.5,55.6
April,2016,Central,70,80.6,59.5
May,2016,Central,74.2,83.2,65.2
June,2016,Central,83,92.9,73.2
July,2016,Central,88,98.9,77.1
August,2016,Central,84.4,93.6,75.2
September,2016,Central,82.5,92.4,72.6
October,2016,Central,75.6,87.3,64
November,2016,Central,65.7,75.6,55.7
December,2016,Central,55.1,63.5,46.6
January,2017,Central,56.7,67.9,45.5
February,2017,Central,64.5,75.5,53.5
March,2017,Central,68.6,78.6,58.5
April,2017,Central,71.7,82.7,60.7
May,2017,Central,76.3,88.1,64.6
June,2017,Central,84,94.4,73.6
July,2017,Central,88.9,101.4,76.5
August,2017,Central,85.3,95.5,75.1
September,2017,Central,79.9,90.1,69.8
October,2017,Central,70.9,82.4,59.4
November,2017,Central,66.2,76.5,55.9
December,2017,Central,52.4,62.2,42.5
January,2014,West,53.2,66.8,39.5
February,2014,West,56.8,66.7,46.8
March,2014,West,62.3,74.3,50.4
April,2014,West,66.8,80,53.6
May,2014,West,74.2,88.3,60.2
June,2014,West,80.9,96.4,65.5
July,2014,West,86.9,101.2,72.6
August,2014,West,84.4,98.6,70.1
September,2014,West,80.7,94.6,66.9
October,2014,West,72,85.7,58.3
November,2014,West,57.7,67.9,47.5
December,2014,West,51.9,59.4,44.4
January,2015,West,49,57.5,40.5
February,2015,West,57,67.6,46.3
March,2015,West,64,77.7,50.3
April,2015,West,64.3,77.6,51
May,2015,West,68.5,81.5,55.5
June,2015,West,81.9,96.8,67.1
July,2015,West,83.1,96.8,69.3
August,2015,West,82.4,97.1,67.7
September,2015,West,78.7,92.4,65
October,2015,West,71.3,83.1,59.4
November,2015,West,52,62.5,41.5
December,2015,West,45.8,54.8,36.8
January,2016,West,50,57.7,42.3
February,2016,West,55.5,67.7,43.4
March,2016,West,58.7,69.2,48.2
April,2016,West,65.3,77.6,52.9
May,2016,West,71.3,84.5,58.2
June,2016,West,80.9,96.5,65.3
July,2016,West,84,100,68
August,2016,West,82.5,98.3,66.7
September,2016,West,76.1,91.3,60.9
October,2016,West,66.4,78.7,54.1
November,2016,West,57.5,68.8,46.3
December,2016,West,47.2,55.8,38.5
January,2017,West,48.1,55.6,40.5
February,2017,West,53.9,61.7,46.1
March,2017,West,58.7,70.3,47.2
April,2017,West,62.1,73.8,50.3
May,2017,West,71,84,57.9
June,2017,West,80.5,95.1,65.9
July,2017,West,86.5,101.9,71.1
August,2017,West,85.2,99.5,70.9
September,2017,West,77.2,90.1,64.2
October,2017,West,65.7,79.9,51.4
November,2017,West,58,68.3,47.6
December,2017,West,48,60.5,35.5
